{'loss_all': 2.716696262359619, 'loss_G': 2.0891733169555664, 'loss_G_GAN': 1.0463674068450928, 'loss_G_cycle': 1.0428060293197632, 'loss_D': 0.6275230646133423}
{'loss_all': 2.145775079727173, 'loss_G': 1.8998396396636963, 'loss_G_GAN': 0.8836700320243835, 'loss_G_cycle': 1.016169548034668, 'loss_D': 0.24593527615070343}
{'loss_all': 2.125967502593994, 'loss_G': 1.5865490436553955, 'loss_G_GAN': 0.41473716497421265, 'loss_G_cycle': 1.171811819076538, 'loss_D': 0.5394185781478882}
{'loss_all': 2.624922037124634, 'loss_G': 2.3680832386016846, 'loss_G_GAN': 1.033995270729065, 'loss_G_cycle': 1.3340880870819092, 'loss_D': 0.2568386197090149}
{'loss_all': 2.1006951332092285, 'loss_G': 1.7847087383270264, 'loss_G_GAN': 1.019902229309082, 'loss_G_cycle': 0.7648065090179443, 'loss_D': 0.3159864544868469}
{'loss_all': 2.2997114658355713, 'loss_G': 2.0185189247131348, 'loss_G_GAN': 1.18464994430542, 'loss_G_cycle': 0.8338688611984253, 'loss_D': 0.2811926603317261}
{'loss_all': 2.0508527755737305, 'loss_G': 1.6759252548217773, 'loss_G_GAN': 0.8763699531555176, 'loss_G_cycle': 0.7995553016662598, 'loss_D': 0.3749276399612427}
{'loss_all': 1.8575811386108398, 'loss_G': 1.6376451253890991, 'loss_G_GAN': 0.8058452010154724, 'loss_G_cycle': 0.8317999243736267, 'loss_D': 0.21993590891361237}
{'loss_all': 1.8672999143600464, 'loss_G': 1.4991469383239746, 'loss_G_GAN': 0.5038486123085022, 'loss_G_cycle': 0.9952982664108276, 'loss_D': 0.36815303564071655}
{'loss_all': 2.5383620262145996, 'loss_G': 2.284938335418701, 'loss_G_GAN': 1.2193444967269897, 'loss_G_cycle': 1.065593957901001, 'loss_D': 0.25342369079589844}
{'loss_all': 2.644726276397705, 'loss_G': 2.406651496887207, 'loss_G_GAN': 0.940182089805603, 'loss_G_cycle': 1.4664695262908936, 'loss_D': 0.2380746304988861}
{'loss_all': 1.7735064029693604, 'loss_G': 1.469541311264038, 'loss_G_GAN': 0.46351370215415955, 'loss_G_cycle': 1.0060276985168457, 'loss_D': 0.3039650619029999}
{'loss_all': 2.4822170734405518, 'loss_G': 2.006197452545166, 'loss_G_GAN': 0.8449166417121887, 'loss_G_cycle': 1.161280632019043, 'loss_D': 0.47601985931396484}
{'loss_all': 2.1280436515808105, 'loss_G': 1.7363909482955933, 'loss_G_GAN': 0.8189820051193237, 'loss_G_cycle': 0.9174090027809143, 'loss_D': 0.3916526436805725}
